#"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Density (g/mL)"	"Speed (ns/day)"	"Time Remaining"
100	0.10000000000000007	-2086321.0189835127	155.73969461303165	0.983992906876695	0	--
200	0.20000000000000015	-2083220.4505945682	164.37232807976036	0.9919357538096187	0.0287	40:09
300	0.3000000000000002	-2081964.7878349042	185.7000308045414	0.996348584217194	0.0283	35:35
400	0.4000000000000003	-2080823.5657524823	202.13798274239008	1.0074443349128743	0.0286	30:11
500	0.5000000000000003	-2077703.7941101363	210.54447081134845	1.0074443349128743	0.0283	25:29
600	0.6000000000000004	-2075318.2752982685	220.9219932008407	1.0074443349128743	0.0286	20:10
700	0.7000000000000005	-2073406.3595849455	227.5202976821058	1.0096948141380604	0.0285	15:08
800	0.8000000000000006	-2071969.187904504	233.65371999525652	1.0175700296947614	0.0287	10:02
900	0.9000000000000007	-2069812.6665734663	240.25760149859627	1.0175700296947614	0.0285	5:02
1000	1.0000000000000007	-2067561.5316781665	244.17169871854816	1.019832228401429	0.0285	0:00
100	1.0999999999999897	-2065821.4514679613	249.1535567702874	1.0188084503300079	0.0284	--
200	1.1999999999999786	-2064635.5890413092	254.9975548759929	1.0227523838820929	0.0283	7:27:40
300	1.2999999999999676	-2063221.094360359	258.54051539645235	1.0227523838820929	0.0283	3:33:30
400	1.3999999999999566	-2061902.7276014227	261.4673186474138	1.0255010463321264	0.0284	2:11:51
500	1.4999999999999456	-2060744.0565356407	263.271841108651	1.0273303970013268	0.0284	1:28:42
600	1.5999999999999346	-2059939.2850284846	268.4930261780326	1.0305496993872094	0.0285	1:00:41
700	1.6999999999999236	-2058729.0434910501	270.6351831069633	1.0305496993872094	0.0285	40:23
800	1.7999999999999126	-2057369.982558934	270.482300324566	1.0301519435739535	0.0285	24:30
900	1.8999999999999015	-2056408.4598211143	271.96756883117155	1.0301519435739535	0.0286	11:19
1000	1.9999999999998905	-2056055.0624189682	275.48946839294086	1.0322558645520594	0.0286	0:00
