#"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Density (g/mL)"	"Speed (ns/day)"	"Time Remaining"
100	2.0999999999998797	-2055304.4905479802	276.31212132745264	1.0322558645520594	0	--
200	2.1999999999998687	-2055114.2635726423	280.8855342991634	1.0322558645520594	0.0767	33:48
300	2.2999999999998577	-2054271.201884205	282.24369400719854	1.033138428292672	0.0741	33:01
400	2.3999999999998467	-2052846.314295355	281.17582781142073	1.033138428292672	0.0748	30:48
500	2.4999999999998357	-2052790.2706374621	283.39541189596036	1.033138428292672	0.0747	28:55
600	2.5999999999998247	-2052144.7532998514	285.8595443012121	1.0363389684284707	0.0749	26:54
700	2.6999999999998137	-2052125.99087049	288.7655721190235	1.036750749506695	0.0753	24:52
800	2.7999999999998026	-2051008.8823572386	286.572553105424	1.036750749506695	0.0751	23:01
900	2.8999999999997916	-2050143.8131489041	286.62399102147515	1.0374881932141797	0.0748	21:10
1000	2.9999999999997806	-2050542.1055840536	290.5477721918714	1.042159627616609	0.0751	19:09
1100	3.0999999999997696	-2049544.004742163	286.80391040998694	1.042159627616609	0.0751	17:15
1200	3.1999999999997586	-2049763.3017241317	289.56080608630174	1.0430772482541606	0.0749	15:23
1300	3.2999999999997476	-2049482.2242518563	290.852063267435	1.0430772482541606	0.0747	13:29
1400	3.3999999999997366	-2049019.4717559156	293.1187513616183	1.0457253735361973	0.0743	11:37
1500	3.4999999999997256	-2048240.575567556	292.3686840987131	1.0448237233256812	0.0739	9:44
1600	3.5999999999997145	-2048051.4797363542	292.5485422171466	1.0472281554244713	0.0734	7:50
1700	3.6999999999997035	-2047931.5438508138	293.8059105211775	1.0469581265147714	0.0735	5:52
1800	3.7999999999996925	-2047577.7204575525	293.402596805155	1.0469581265147714	0.0734	3:55
1900	3.8999999999996815	-2047508.6382775945	292.7949920891656	1.048095372443561	0.0734	1:57
2000	3.9999999999996705	-2047082.5417761975	292.6122349777779	1.0474164665964656	0.0733	0:00
