#"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Density (g/mL)"	"Speed (ns/day)"	"Time Remaining"
1000	1.0000000000000007	-385665.65340251644	247.92409627801072	1.0235968933002415	0	--
2000	1.9999999999998905	-373575.6012353512	277.0655313195336	1.031625844974148	4.61	2:30
3000	2.9999999999997806	-368349.446248742	288.78690255380013	1.0422627246615386	4.57	2:12
4000	3.9999999999996705	-364981.22135983285	293.2945821388263	1.0487006831019392	4.55	1:53
5000	5.000000000000004	-364315.9306459106	297.98675612403684	1.054517112551193	4.54	1:35
6000	6.000000000000338	-362973.68101546203	294.0397313513541	1.0579468300420183	4.53	1:16
7000	7.000000000000672	-362913.9382170983	296.9154425252038	1.0585653509261637	4.52	0:57
8000	8.000000000001005	-362667.09922881523	298.51096312537516	1.055666062257167	4.52	0:38
9000	9.000000000000451	-362241.24528405146	299.9393443560577	1.0615360006504138	4.51	0:19
10000	9.999999999999897	-362535.0171556573	302.99098116656774	1.0592715349065136	4.51	0:00
1000	10.999999999999343	-362149.0681157436	300.48479543183964	1.0577559325390884	4.5	--
2000	11.999999999998789	-362920.09381355194	301.66047635494635	1.0566683067566915	4.49	28:11
3000	12.999999999998234	-361708.001622259	297.69615732639625	1.0623594850603202	4.49	13:28
4000	13.99999999999768	-362951.0282181739	300.79752391302895	1.0610490259734857	4.49	8:20
5000	14.999999999997126	-361977.3326151498	301.0808450315602	1.05803260963039	4.48	5:37
6000	15.999999999996572	-363160.15733116615	300.6333905381395	1.0640195589802657	4.48	3:51
7000	16.999999999997794	-362778.05077627604	298.06510944588	1.065073706123317	4.48	2:34
8000	17.999999999999016	-363201.75990142126	299.30950990218906	1.0569014604663423	4.48	1:33
9000	19.000000000000238	-362918.32058723475	300.2146136946864	1.063072992425568	4.48	0:43
10000	20.00000000000146	-362243.91288330226	300.280156570236	1.0576348276632048	4.47	0:00
