#"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Density (g/mL)"	"Speed (ns/day)"	"Time Remaining"
1000	22.00000000000035	-362470.3167799227	295.25413599276624	1.0380914341320262	0	--
2000	23.999999999999243	-361650.2143073774	300.1083146201734	1.049551471873218	8.54	2:48:02
3000	25.999999999998135	-361887.5310210808	300.14496989265075	1.0597107952079945	8.5	2:48:19
4000	27.999999999997026	-363754.96721734107	301.46837267043	1.0664127730990876	8.48	2:48:32
5000	29.999999999995918	-363404.24267795176	300.4792846590288	1.0618768003943868	8.46	2:48:34
6000	31.99999999999481	-361914.3981434349	299.96167419829254	1.0620207066818375	8.46	2:48:11
7000	33.99999999999725	-362961.96571391076	300.0509018993932	1.0619922929610381	8.45	2:47:56
8000	35.999999999999694	-363406.00048769603	299.3119086966113	1.0590710510185157	8.46	2:47:31
9000	38.00000000000214	-363036.87447296124	299.42960875227647	1.0596504678581014	8.46	2:47:13
10000	40.00000000000458	-361925.97027370095	296.85911863435945	1.0572657334548918	8.45	2:46:57
11000	42.00000000000703	-362106.3159868981	298.85157436236534	1.056728296283402	8.45	2:46:38
12000	44.00000000000947	-362706.5288947478	305.97835635980766	1.0585415619093341	8.45	2:46:18
13000	46.000000000011916	-363149.05708994577	300.15529312897957	1.0602803427860739	8.45	2:46:01
14000	48.00000000001436	-363364.3360791248	297.9052047746421	1.0626593095910226	8.45	2:45:42
15000	50.000000000016804	-361662.7745141065	299.08873305371367	1.0564053211634712	8.44	2:45:24
16000	52.00000000001925	-362018.4781901964	300.2541907019708	1.0513932865943638	8.45	2:45:02
17000	54.00000000002169	-361503.0220976832	301.48894146233937	1.0534815407164522	8.45	2:44:38
18000	56.00000000002414	-362805.5075686638	299.31446227486975	1.0598876463236626	8.45	2:44:17
19000	58.00000000002658	-362172.86994491826	299.22915905338436	1.0628653957525214	8.45	2:43:58
20000	60.000000000029026	-363549.4449941158	299.08534349531305	1.0610214976740402	8.45	2:43:38
21000	62.00000000003147	-362088.0070513623	299.5087106652648	1.0612401148128379	8.45	2:43:19
22000	64.0000000000339	-363355.8765743663	298.06872920745695	1.060190045305532	8.45	2:42:58
23000	66.00000000002925	-363418.34148665913	300.7698553402326	1.0596455938068914	8.45	2:42:38
24000	68.00000000002458	-363423.86867417657	299.3910330564595	1.0603758811074555	8.45	2:42:16
25000	70.00000000001992	-362416.7682463044	297.13620261528825	1.057191477025735	8.45	2:41:54
26000	72.00000000001526	-363099.224728376	299.78557526017124	1.0588009848873783	8.45	2:41:34
27000	74.0000000000106	-362606.88523610315	299.7467316562895	1.0578423097352312	8.45	2:41:13
28000	76.00000000000594	-362221.93393396924	300.04886895360823	1.057939004697109	8.45	2:40:53
29000	78.00000000000128	-362324.9260645308	297.9016908482935	1.0551333593827177	8.45	2:40:31
30000	79.99999999999662	-362796.3854845651	301.03023351509694	1.0577755126219037	8.45	2:40:12
31000	81.99999999999196	-362424.3642712512	299.38301413516916	1.0622660146916079	8.45	2:39:51
32000	83.9999999999873	-361064.62102806865	299.0497574287267	1.05686095735174	8.45	2:39:32
33000	85.99999999998263	-362066.7060327934	299.8292552585471	1.0607562644534736	8.45	2:39:12
34000	87.99999999997797	-362744.38029830554	300.0689355237094	1.0637591769883705	8.45	2:38:52
35000	89.99999999997331	-361720.9336365398	298.9380213366151	1.0622011872225325	8.45	2:38:32
36000	91.99999999996865	-361809.6490134881	299.02843750271745	1.057201123566241	8.45	2:38:12
37000	93.99999999996399	-363535.1985015017	298.1497045727134	1.0625149395848195	8.45	2:37:52
38000	95.99999999995933	-363263.47039739526	298.2921828806766	1.0541230192435411	8.45	2:37:32
39000	97.99999999995467	-362048.24655391334	299.975586240496	1.0575715274473931	8.45	2:37:11
